SIGLA,nome curto,nome longo,definição,cat,short name,long name,definition
t_fund11a13,% de 11 a 13 anos nos anos finais do fundamental ou com fundamental completo,Percentual da população de 11 a 13 anos de idade frequentando os anos  finais do fundamental ou que já concluiu o fundamental,Razão entre a população de 11 a 13 anos de idade que frequenta os quatro anos finais do fundamental (do 6º ao 9º ano desse nível de ensino) ou que já concluiu o fundamental e a população total nesta faixa etária multiplicado por 100.,edu,% from 11 to 13 years in the final years of the fundamental or with complete fundamental,Percentage of the population of 11 to 13 years of age attending the final years of the essential or fundamental concluded,"Ratio of the population of 11 to 13 years old who frequents the four final years of fundamental (6th to 9th year of this level of education) or have already completed and the total population in this age group, multiplied by 100."
t_fund12a14,% de 12 a 14 anos nos anos finais do fundamental ou com fundamental completo,Percentual da população de 12 a 14 anos de idade frequentando os anos  finais do fundamental ou que já concluiu o fundamental,Razão entre a população de 12 a 14 anos de idade que frequenta os quatro anos finais do fundamental (do 6º ao 9º ano desse nível de ensino) ou que já concluiu o fundamental e a população total nesta faixa etária multiplicado por 100.,edu,% from 12 to 14 years in the final years of the fundamental or with complete fundamental,Percentage of the population of 12 to 14 years of age attending the final years of the essential or fundamental concluded,"Ratio of the population of 12 to 14 years of age who frequents the four final years of fundamental (6th to 9th year of this level of education) or have already completed and the total population in this age group, multiplied by 100."
t_fund15a17,% de 15 a 17 anos com fundamental completo,Percentual da população de 15 a 17 anos com fundamental completo,"Razão entre a população de 15 a 17 anos de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.",edu,% 15 to 17 years old with complete fundamental,Percentage of the population from 15 to 17 years with full key,"Ratio of the population of 15 to 17 years of age who completed elementary school, in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100."
t_fund16a18,% de 16 a 18 anos com fundamental completo,Percentual da população de 16 a 18 anos de idade com o ensino fundamental completo,"Razão entre a população de 16 a 18 anos de idade que já concluiu o ensino fundamental em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.",edu,% from 16 to 18 years old with complete fundamental,Percentage of the population of 16 to 18 years of age with full elementary school,"Ratio of the population of 16 to 18 years of age who have completed elementary school in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100."
t_fund18a24,% de 18 a 24 anos com fundamental completo,Percentual da população de 18 a 24 anos com fundamental completo,"Razão entre a população de 18 a 24 anos de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.",edu,% from 18 to 24 years old with complete fundamental,Percentage of 18 to 24 year-old population with full key,"Ratio of the population of 18 to 24 years of age who completed elementary school, in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100."
t_fund18m,% de 18 anos ou mais com fundamental completo,Percentual da população de 18 anos ou mais com fundamental completo,"Razão entre a população de 18 anos ou mais de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.",edu,% 18 years or older with complete fundamental,Percentage of the population of 18 years or more with full key,"Ratio of the population of 18 years or older who have completed elementary school, in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100."
t_fund25m,% de 25 anos ou mais com fundamental completo,Percentual da população de 25 anos ou mais com fundamental completo,"Razão entre a população de 25 anos ou mais de idade que concluiu o ensino fundamental, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100.",edu,% of 25 years or over with complete fundamental,Percentage of the population of 25 years or more with full key,"Ratio of the population of 25 years or older who have completed elementary school, in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100."
t_med18a20,% de 18 a 20 anos com médio completo,Percentual da população de 18 a 20 anos de idade com o ensino médio completo,"Razão entre a população de 18 a 20 anos de idade que já concluiu o ensino médio em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. As pessoas de 18 a 20 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.",edu,% from 18 to 20 years old with a,Percentage of the population of 18 to 20 years old with full secondary education,"Ratio of the population of 18 to 20 years of age who have completed high school in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100. People from 18 to 20 years attending fourth grade of high school were considered as having completed this level of education."
t_med18a24,% de 18 a 24 anos com médio completo,Percentual da população de 18 a 24 anos com ensino médio completo,"Razão entre a população de 18 a 24 anos de idade que concluiu o ensino médio, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. Foram consideradas como tendo concluído o ensino médio as pessoas frequentando a 4ª série desse nível.",edu,% of 18 to 24 years with medium complete,Percentage of the population of 18 to 24-year-old with full secondary education,"Ratio of the population of 18 to 24 year olds who have completed high school, in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100. Were considered as having completed high school people attending fourth grade this level."
t_med18m,% de 18 anos ou mais com médio completo,Percentual da população de 18 anos ou mais com ensino médio completo,"Razão entre a população de 18 anos ou mais de idade que concluiu o ensino médio, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. Foram consideradas como tendo concluído o ensino médio as pessoas frequentando a 4ª série desse nível.",edu,% of 18 years or older with complete medium,Percentage of the population of 18 years or more to complete high school,"Ratio of the population of 18 years or older who have completed high school, in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100. Were considered as having completed high school people attending fourth grade this level."
t_med19a21,% de 19 a 21 anos com médio completo,Percentual da população de 19 a 21 anos de idade com o ensino médio completo,"Razão entre a população de 19 a 21 anos de idade que já concluiu o ensino médio em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. As pessoas de 19 a 21 anos frequentando a 4ª série do ensino médio foram consideradas como já tendo concluído esse nível de ensino.",edu,% of the 19 21 years with medium complete,Percentage of the population of 19 to 21 years of age with high school complete,"Ratio of the population of 19 to 21 years of age who have completed high school in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100. People from 19 to 21 years attending fourth grade of high school were considered as having completed this level of education."
t_med25m,% de 25 anos ou mais com médio completo,Percentual da população de 25 anos ou mais com ensino médio incompleto,"Razão entre a população de 25 anos ou mais de idade que concluiu o ensino médio, em quaisquer de suas modalidades (regular seriado, não seriado, EJA ou supletivo) e o total de pessoas nesta faixa etária multiplicado por 100. Foram consideradas como tendo concluído o ensino médio as pessoas frequentando a 4ª série desse nível.",edu,% 25 years or older with complete medium,Percentage of the population of 25 years or more with incomplete high school,"Ratio of the population of 25 years or older who have completed high school, in any of its modes (regular show, don't show, EJA or GED) and the total number of people in this age group, multiplied by 100. Were considered as having completed high school people attending fourth grade this level."
t_super25m,% de 25 anos ou mais com superior completo,Percentual da população de 25 anos ou mais com superior completo,Razão entre a população de 25 anos ou mais de idade que concluiu pelo menos a graduação do ensino superior e o total de pessoas nesta faixa etária multiplicado por 100.,edu,% 25 years or more with full top,Percentage of the population of 25 years or more with full top,"Ratio of the population of 25 years or older who have completed at least a Bachelor degree in higher education and the total number of people in this age group, multiplied by 100."
corte1,Renda per capita máxima do 1º quinto mais pobre,Renda domiciliar per capita máxima do quinto mais pobre,"Valor do 1º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.",econ,Maximum per capita income of the poorest fifth,Household per capita income of the poorest fifth,"Value of the 1st quintile of the distribution of individuals according to the household income per capita, that is, the highest per capita household income of individuals belonging to the poorest fifth of this distribution. Values in Brazilian reais of 01/August/2010."
corte2,Renda per capita máxima do 2° quinto mais pobre,Renda domiciliar per capita máxima do 2º quinto mais pobre,"Valor do 2º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao 2º quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.",econ,Maximum per capita income of the poorest fifth fifth,Household per capita income of the poorest fifth 2,"Value of the second quintile of the distribution of individuals according to the household income per capita, that is, the highest per capita household income of individuals belonging to the 2nd poorest fifth of this distribution. Values in Brazilian reais of 01/August/2010."
corte3,Renda per capita máxima do 3° quinto mais pobre,Renda domiciliar per capita máxima do 3º quinto mais pobre,"Valor do 3º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao 3º quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.",econ,Maximum per capita income of poorest 3rd fifth,Household per capita income of the poorest fifth third,"The third quintile of value distribution of individuals according to the household income per capita, that is, the highest per capita household income of individuals belonging to the 3rd poorest fifth of this distribution. Values in Brazilian reais of 01/August/2010."
corte4,Renda per capita máxima do 4°quinto mais pobre,Renda domiciliar per capita máxima do 3º quinto mais pobre,"Valor do 4º quintil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor máximo da renda domiciliar per capita dos indivíduos pertencentes ao 4º quinto mais pobre dessa distribuição. Valores em reais de 01/agosto/2010.",econ,Maximum per capita income of the 4th poorest fifth,Household per capita income of the poorest fifth third,"The fourth quintile of value distribution of individuals according to the household income per capita, that is, the highest per capita household income of individuals belonging to the 4th poorest fifth of this distribution. Values in Brazilian reais of 01/August/2010."
corte9,Renda per capita mínima do décimo mais rico,Renda domiciliar per capita mínima do décimo mais rico,"Valor do 9º decil da distribuição de indivíduos segundo a renda domiciliar per capita, ou seja, valor mínimo da renda domiciliar per capita dos indivíduos pertencentes ao décimo mais rico dessa distribuição. Valores em reais de 01/agosto/2010.",econ,Minimum per capita income of the richest tenth,Per capita household income of minimum more Rico,"Value of the ninth decile distribution of household income individuals according to per capita, i.e. minimum value per capita household income of individuals belonging to the tenth more Rico this distribution. Values in Brazilian reais of 01/August/2010."
gini,Índice de Gini,Índice de Gini,"Mede o grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Seu valor varia de 0, quando não há desigualdade (a renda domiciliar per capita de todos os indivíduos tem o mesmo valor), a 1, quando a desigualdade é máxima (apenas um indivíduo detém toda a renda).O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,Gini Index,Gini Index,"It measures the degree of inequality in the distribution of individuals according to per capita household income. Its value varies from 0, when there is no inequality (household income per capita of all individuals has the same value), a 1, when the inequality is maximum (only one individual owns all income). The universe of individuals is limited to those living in permanent private households."
pind,% de extremamente pobres,Proporção de extremamente pobres,"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 70,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,% of extremely poor,The proportion of extremely poor,"Proportion of individuals with household per capita income less than or equal to R $70.00 monthly, in August 2010 Royal. The universe of individuals is limited to those living in private households."
pindcri,% de crianças extremamente pobres,Proporção de crianças extremamente pobres,"Proporção dos indivíduos com até 14 anos de idade que têm renda domiciliar per capita igual ou inferior a R$ 70,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,% of extremely poor children,The proportion of extremely poor children,"Proportion of individuals up to 14 years of age who have a per capita household income equal to or less than R $ 70.00 per month, in reais in August 2010. The universe of individuals is limited to those living in permanent private households."
pmpob,% de pobres,Proporção de pobres,"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 140,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,% of poor,Proportion of poor,"Proportion of individuals with household per capita income less than or equal to R $140.00 monthly, in August 2010 Royal. The universe of individuals is limited to those living in private households."
pmpobcri,% de crianças pobres,Proporção de crianças pobres,"Proporção dos indivíduos com até 14 anos de idade que têm renda domiciliar per capita igual ou inferior a R$ 140,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles com até 14 anos e que vivem em domicílios particulares permanentes.",econ,% of poor children,Proportion of poor children,"Proportion of individuals up to 14 years of age who have per capita household income equal to or less than R $ 140.00 per month, in reais in August 2010. The universe of individuals is limited to those under 14 years of age and living in private households permanent."
ppob,% de vulneráveis à pobreza,Proporção de vulneráveis à pobreza,"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 255,00 mensais, em reais de agosto de 2010, equivalente a 1/2 salário mínimo nessa data. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,% vulnerable to poverty,Proportion of people vulnerable to poverty,"Proportion of individuals with per capita household income equal to or less than R $ 255.00 per month, in reais of August 2010, equivalent to 1/2 minimum salary on that date. The universe of individuals is limited to those who live in permanent private households."
ppobcri,% de crianças vulneráveis à pobreza,Proporção de crianças vulneráveis à pobreza,"Proporção dos indivíduos com até 14 anos de idade que têm renda domiciliar per capita igual ou inferior a R$ 255,00 mensais, em reais de agosto de 2010, equivalente a 1/2 salário mínimo nessa data. O universo de indivíduos é limitado àqueles com até 14 anos e que vivem em domicílios particulares permanentes.",econ,% of children vulnerable to poverty,Proportion of children vulnerable to poverty,"Proportion of individuals with up to 14 years of age who have per capita household income equal to or less than R $ 255.00 per month, in reais of August 2010, equivalent to 1/2 minimum salary on that date. The universe of individuals is limited to those up to 14 years of age and living in permanent private households."
pren10ricos,Percentual da renda apropriada pelos 10% mais ricos,Percentual da renda total apropriada pelos 10% da população com maior renda domiciliar per capita,Percentual da renda total apropriada pelos indivíduos pertencentes ao décimo mais rico da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Percentage of income appropriated by the richest 10%,Percentage of total income appropriated by the 10% of the population with the highest per capita household income,Percentage of total income appropriated by individuals belonging to the richest tenth of the distribution of individuals according to per capita household income. The universe of individuals is limited to those who live in permanent private households.
pren20,Percentual da renda apropriada pelos 20% mais pobres,Percentual da renda total apropriada pelos 20% da população com menor renda domiciliar per capita,Percentual da renda total apropriada pelos indivíduos pertencentes ao quinto mais pobre da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Percentage of income appropriated by the poorest 20%,Percentage of total income appropriated by the 20% of the population with the lowest per capita household income,Percentage of total income appropriated by individuals belonging to the poorest fifth of the individuals&#39; distribution according to the per capita household income. The universe of individuals is limited to those who live in permanent private households.
pren20ricos,Percentual da renda apropriada pelos 20% mais ricos,Percentual da renda total apropriada pelos 20% da população com maior renda domiciliar per capita,Percentual da renda total apropriada pelos indivíduos pertencentes ao quinto mais rico da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Percentage of income appropriated by the richest 20%,Percentage of total income appropriated by the 20% of the population with the highest per capita household income,Percentage of total income appropriated by individuals belonging to the richest fifth of the distribution of individuals according to per capita household income. The universe of individuals is limited to those who live in permanent private households.
pren40,Percentual da renda apropriada pelos 40% mais pobres,Percentual da renda total apropriada pelos 40% da população com menor renda domiciliar per capita,Percentual da renda total apropriada pelos indivíduos pertencentes aos dois quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Percentage of income appropriated by the poorest 40%,Percentage of total income appropriated by the 40% of the population with the lowest per capita household income,Percentage of total income appropriated by individuals belonging to the poorest two fifths of the distribution of individuals according to per capita household income. The universe of individuals is limited to those who live in permanent private households.
pren60,Percentual da renda apropriada pelos 60% mais pobres,Percentual da renda total apropriada pelos 60% da população com menor renda domiciliar per capita,Percentual da renda total apropriada pelos indivíduos pertencentes aos três quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Percentage of income appropriated by the poorest 60%,Percentage of total income appropriated by the 60% of the population with the lowest per capita household income,Percentage of total income appropriated by individuals belonging to the poorest three fifths of the distribution of individuals according to per capita household income. The universe of individuals is limited to those who live in permanent private households.
pren80,Percentual da renda apropriada pelos 80% mais pobres,Percentual da renda total apropriada pelos 80% da população com menor renda domiciliar per capita,Percentual da renda total apropriada pelos indivíduos pertencentes aos quatro quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Percentage of income appropriated by the poorest 80%,Percentage of total income appropriated by the 80% of the population with the lowest per capita household income,Percentage of total income appropriated by individuals belonging to the poorest four fifths of the distribution of individuals according to per capita household income. The universe of individuals is limited to those who live in permanent private households.
prentrab,% da renda proveniente de rendimentos do trabalho,Percentual da renda proveniente de rendimentos do trabalho,"Participação percentual das rendas provenientes do trabalho (principal e outros) na renda total, considerando-se apenas as pessoas que vivem em domicílios particulares permanentes. ",econ,% of income from earned income,Percentage of income from earned income,"Participation percentage of revenue coming from work (and others) on the total income, whereas only the people who live in private households."
r1040,Razão 10% mais ricos / 40% mais pobres,Razão 10% mais ricos / 40% mais pobres,Medida do grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Compara a renda per capita média dos indivíduos pertencentes ao décimo mais rico dessa distribuição com a renda capita média dos indivíduos pertencentes aos dois quintos mais pobres. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Reason 10% richest/poorest 40%,Reason 10% richer / 40% poorer,Measure the degree of imbalance in the distribution of individuals according to household per capita income. Compares the average per capita income of individuals belonging to the tenth more Rico this distribution with the income of the average capital individuals belonging to the poorest two-fifths. The universe of individuals is limited to those living in private households.
r2040,Razão 20% mais ricos / 40% mais pobres,Razão 20% mais ricos / 40% mais pobres,Medida do grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Compara a renda per capita média dos indivíduos pertencentes ao quinto mais rico dessa distribuição com a renda per capita média dos indivíduos pertencentes aos dois quintos mais pobres. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.,econ,Right 20% richest/poorest 40%,Reason 20% richer / 40% poorer,Measure the degree of imbalance in the distribution of individuals according to household per capita income. Compares the average per capita income of individuals belonging to the fifth most Rico this distribution with the average per capita income of individuals belonging to the poorest two-fifths. The universe of individuals is limited to those living in private households.
rdpc,Renda per capita ,Renda per capita média,Razão entre o somatório da renda de todos os indivíduos residentes em domicílios particulares permanentes e o número total desses indivíduos. Valores em reais de 01/agosto de 2010.,econ,Income per capita,Average per capita income,Ratio between the sum of the incomes of all individuals living in private households and the total number of these individuals. Values in Brazilian reais of 01/August 2010.
rdpc1,Renda per capita média do 1º quinto mais pobre,Renda domiciliar per capita média do quinto mais pobre,Média da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.,econ,Average per capita income of the poorest fifth 1,Average household income per capita of the poorest fifth,The average per capita household income of individuals belonging to the poorest fifth of the distribution of individuals according to household per capita income. Actual values of 01/08/2010.
rdpc10,Renda per capita média do décimo mais rico,Renda domiciliar per capita média do décimo mais rico,Média da renda domiciliar per capita dos indivíduos pertencentes ao décimo mais rico da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.,econ,Average per capita income of the tenth more Rico,Average per capita household income of the richest tenth,The average per capita household income of individuals belonging to the tenth more Rico distribution of individuals according to household per capita income. Actual values of 01/08/2010.
rdpc2,Renda per capita média do 2º quinto mais pobre,Renda domiciliar per capita  média do 2º quinto mais pobre,Média da renda domiciliar per capita dos indivíduos pertencentes ao 2º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.,econ,Average per capita income of the poorest fifth 2,Average per capita household income of the poorest 2nd fifth,The average per capita household income of individuals belonging to the 2nd poorest fifth distribution of individuals according to household per capita income. Actual values of 01/08/2010.
rdpc3,Renda per capita média do 3º quinto mais pobre,Renda domiciliar per capita  média do 3º quinto mais pobre,Média da renda domiciliar per capita dos indivíduos pertencentes ao 3º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.,econ,Average per capita income of the poorest fifth third,The average per capita household income 3 fifth poorest,The average per capita household income of individuals belonging to the 3rd fifth poorer distribution of individuals according to household per capita income. Actual values of 01/08/2010.
rdpc4,Renda per capita média do 4º quinto mais pobre,Renda domiciliar per capita  média do 3º quinto mais pobre,Média da renda domiciliar per capita dos indivíduos pertencentes ao 4º quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.,econ,Average per capita income of the poorest fifth 4,The average per capita household income 3 fifth poorest,The average per capita household income of individuals belonging to the 4th poorest fifth distribution of individuals according to household per capita income. Actual values of 01/08/2010.
rdpc5,Renda per capita média do quinto mais rico,Renda domiciliar per capita média do quinto mais rico,Média da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais rico da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010.,econ,Average per capita income of the fifth more Rico,The average per capita household income fifth more Rico,The average per capita household income of individuals belonging to the fifth most Rico distribution of individuals according to household per capita income. Actual values of 01/08/2010.
rdpct,"Renda per capita , exceto renda nula","Renda domiciliar per capita média, exceto renda nula",Razão entre o somatório da renda domiciliar per capita de todos os indivíduos residentes em domicílios particulares permanentes com renda não-nula e o número total desses indivíduos. Valores em reais de 01/agosto de 2010.,econ,"Per-capita income, except NULL income","Average per capita household income, except NULL income",Ratio between the sum of the per capita household income of all individuals living in private permanent homes with non-zero income and the total number of these individuals. Values in Brazilian reais of 01/August 2010.
rind,Renda per capita média dos extremamente pobres,Renda domiciliar per capita média dos extremamente pobres,"Média da renda domiciliar per capita das pessoas com renda domiciliar per capita igual ou inferior a R$ 70,00 mensais, a preços de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,Average per capita income of the extremely poor,Household income per capita average of the extremely poor,"The average per capita household income of people with household per capita income less than or equal to R $70.00 monthly, August 2010 prices. The universe of individuals is limited to those living in private households."
rmpob,Renda per capita média dos pobres,Renda domiciliar per capita média dos pobres,"Média da renda domiciliar per capita das pessoas com renda domiciliar per capita igual ou inferior a R$ 140,00 mensais, a preços de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,Average per capita income of the poor,Household per capita income of the average poor,"The average per capita household income of people with household per capita income less than or equal to R $140.00 monthly, August 2010 prices. The universe of individuals is limited to those living in private households."
rpob,Renda per capita média dos vulneráveis à pobreza,Renda domiciliar per capita média dos vulneraveis à pobreza,"Média da renda domiciliar per capita das pessoas com renda domiciliar per capita igual ou inferior a R$ 255,00 mensais, a preços de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes.",econ,Average per capita income of vulnerable to poverty,The average per capita household income vulnerable to poverty,"The average per capita household income of people with household per capita income less than or equal to R $255.00 monthly, August 2010 prices. The universe of individuals is limited to those living in private households."
theil,Índice de Theil - L,Índice de Theil - L,"Mede a desigualdade na distribuição de indivíduos segundo a renda domiciliar per capita, excluídos aqueles com renda domiciliar per capita nula. É o logaritmo da razão entre as médias aritmética e geométrica da renda domiciliar per capita dos indivíduos, sendo nulo quando não existir desigualdade de renda entre eles e tendente ao infinito quando a desigualdade tender ao máximo.",econ,Theil-L index,Theil-L index,"Measures the inequality in the distribution of individuals according to the household income per capita, deleted those with household income per capita. Is the logarithm of the ratio of arithmetic and geometric means of the household per capita income of individuals, being null when there is no income inequality between them and tending to infinity when the inequality tend to the fullest."
cpr,% de trabalhadores por conta própria - 18 anos ou mais,Percentual de ocupados de 18 anos ou mais que são trabalhadores por conta própria.,Razão entre o número de trabalhadores por conta própria de 18 anos ou mais de idade e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of self-employed-18 years or older,Percentage of engaged in 18 years or more who are self-employed.,"Ratio of the number of own-account workers 18 years or older and the total number of persons employed in this age group, multiplied by 100."
emp,% de empregadores - 18 anos ou mais,Percentual de ocupados de 18 anos ou mais que são empregadores,Razão entre o número de empregadores de 18 anos ou mais de idade e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of employers-18 years or older,Percentage of engaged in 18 years or more who are employers,"Ratio between the number of employers of 18 years or older and the total number of persons employed in this age group, multiplied by 100."
p_agro,% dos ocupados no setor agropecuário - 18 anos ou mais,Percentual dos ocupados no setor agropecuário,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor agropecuário e o número total de pessoas ocupadas nessa faixa etária.,econ,% of occupied in the agricultural sector-18 years or older,Percentage of occupied in the agricultural,Ratio of the number of people 18 years or older employed in the agricultural sector and the total number of persons employed in this age group.
p_com,% dos ocupados no setor comércio - 18 anos ou mais,Percentual dos ocupados no setor comércio,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor de comércio e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of busy trade sector-18 years or older,Percentage of occupied in the trade sector,"Ratio of the number of people 18 years or older employed in the trade sector and the total number of persons employed in this age group, multiplied by 100."
p_constr,% dos ocupados no setor de construção - 18 anos ou mais,Percentual dos ocupados no setor de construção ,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor de construção e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied in the construction sector-18 years or older,Percentage of occupied in the construction sector,"Ratio of the number of people 18 years or older employed in the construction sector and the total number of persons employed in this age group, multiplied by 100."
p_extr,% dos ocupados no setor extrativo mineral - 18 anos ou mais,Percentual dos ocupados no setor extrativo mineral,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor extrativo mineral e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied in the mining industry-18 years or older,Percentage of occupied in the mining industry,"Ratio of the number of people 18 years or older employed in the mining industry and the total number of persons employed in this age group, multiplied by 100."
p_formal,Grau de formalização dos ocupados - 18 anos ou mais,Grau de formalização do trabalho das pessoas ocupadas,"Razão entre o número de pessoas de 18 anos ou mais formalmente ocupadas e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Foram considerados como formalmente ocupados os empregados com carteira de trabalho assinada, os militares do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros, os empregados pelo regime jurídico dos funcionários públicos, assim como os empregadores e trabalhadores por conta própria que eram contribuintes de instituto de previdência oficial.",econ,Degree of formalization of busy-18 years or older,Degree of formalisation of the work of busy people,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
p_fund,% dos ocupados com fundamental completo - 18 anos ou mais,Percentual dos ocupados com fundamental completo,"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas que já concluíram o ensino fundamental (regular seriado, regular não seriado, EJA ou supletivo) e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.",econ,% of occupied with elementary-18 full years or more,Percentage of occupied with elementary complete,"Ratio of the number of people 18 years or older who have completed the full elementary school (regular show, no regular tv series, ADULT and YOUTH EDUCATION or GED) and the total number of persons employed in this age group, multiplied by 100."
