 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Hanseníase por Município e Ano/Mês
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"Total"
"172000 Santa Terezinha do Tocantins";-;-;-;37;3;-;1;2;2;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56
"172010 São Bento do Tocantins";-;-;31;24;46;6;-;183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;2;1;1;1;2;2;-;1;2;2;1;-;2;1;1;-;1;1;2;2;2;2;1;1;1;1;1;1;-;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;3;3;3;2;3;3;3;2;2;2;-;1;-;1;-;1;1;-;-;-;-;3;3;2;2;2;2;42;3;2;4;3;3;3;2;64;2;3;2;2;5;38;2;1;2;2;1;1;1;3;3;2;1;2;2;3;3;1;2;1;2;3;1;2;617
"172015 São Félix do Tocantins";-;-;-;6;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;3;3;3;3;3;3;2;2;1;1;2;-;-;-;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;2;1;1;-;93
"172020 São Miguel do Tocantins";-;-;-;26;4;23;-;6;8;2;2;2;-;-;-;3;3;3;4;6;5;2;5;6;6;1;2;5;3;3;1;4;3;1;1;2;2;3;2;3;3;3;3;3;4;3;5;2;5;4;11;8;9;12;12;6;6;8;8;9;7;7;6;7;6;7;3;3;3;4;4;4;8;10;9;10;10;10;10;8;6;7;7;8;8;3;2;3;3;1;2;3;8;8;319;7;7;7;7;8;6;7;15;4;2;2;3;4;3;2;3;4;2;4;4;6;5;5;5;2;7;7;5;6;6;5;7;7;4;4;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;989
"172025 São Salvador do Tocantins";-;-;2;7;69;9;1;1;1;7;1;-;1;1;1;1;1;1;1;2;1;-;-;1;3;3;3;2;2;2;-;-;-;1;1;-;-;-;1;1;1;2;1;1;-;-;1;1;2;2;1;3;2;3;3;4;2;4;3;3;3;5;5;6;4;5;5;5;4;3;-;3;3;2;2;1;2;1;1;5;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;4;1;1;4;1;1;2;3;2;2;2;2;1;1;-;3;-;1;1;1;1;2;1;2;1;1;1;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;2;-;1;-;-;-;-;309
"172030 São Sebastião do Tocantins";7;75;15;43;40;67;5;25;3;3;2;1;1;1;1;1;1;-;1;-;-;-;-;1;2;2;3;3;3;2;2;2;1;1;1;1;-;-;38;-;-;-;1;2;2;2;3;3;4;4;2;3;3;6;5;2;64;1;-;3;2;2;-;-;-;-;1;1;1;1;1;3;2;2;2;4;4;3;3;3;2;6;1;2;1;1;2;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;2;2;3;3;2;2;3;3;4;5;5;5;4;5;5;6;3;4;4;6;2;-;6;6;5;3;2;-;2;3;2;1;-;-;3;1;1;2;5;5;3;5;-;36;4;4;3;4;704
"172049 São Valério";-;-;14;10;222;28;2;2;3;2;3;3;3;3;3;3;5;2;5;4;3;3;5;5;5;4;4;4;3;3;3;3;-;1;1;1;2;1;3;-;3;4;4;3;4;3;4;4;7;3;4;4;4;4;3;4;4;4;3;3;2;3;2;2;2;1;1;1;1;1;2;4;6;2;2;1;2;1;1;1;2;2;2;2;4;4;4;5;1;6;6;4;4;5;5;5;7;6;5;4;3;2;3;3;-;4;4;3;3;3;4;3;4;6;6;6;6;6;3;3;2;2;3;3;3;3;3;-;238;-;2;2;2;-;2;2;4;4;2;6;6;6;3;4;5;5;6;6;7;15;989
"172065 Silvanópolis";-;2;42;41;9;6;1;3;1;2;-;-;-;1;-;2;-;-;-;-;1;-;-;1;-;1;1;1;-;-;-;-;1;1;-;1;1;-;-;-;-;-;1;2;2;1;2;2;3;2;6;4;6;6;2;-;-;5;-;6;5;4;6;8;8;7;7;11;12;7;7;8;6;5;4;7;3;3;3;4;6;6;5;5;5;1;2;3;2;2;2;2;4;6;6;5;4;7;5;7;7;7;5;7;6;5;6;5;6;3;2;1;1;2;1;2;-;3;3;4;2;5;4;5;3;3;6;1;9;10;3;3;3;4;4;3;3;5;3;5;6;3;3;3;3;3;4;4;4;5;577
"172080 Sítio Novo do Tocantins";-;-;-;3;39;29;-;-;3;-;-;-;-;-;-;-;-;-;-;1;1;2;4;1;-;4;4;7;6;2;2;2;3;1;3;3;6;4;3;6;5;1;1;-;1;-;3;3;3;4;11;1;1;1;5;1;8;5;10;10;11;8;1;3;1;-;2;4;9;7;4;3;3;3;2;12;3;6;3;6;2;1;5;2;1;-;1;2;3;-;-;1;4;6;1;5;3;1;4;1;2;4;5;6;7;6;5;4;3;2;2;2;1;3;1;2;-;2;5;5;6;4;1;4;3;3;6;10;13;8;9;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;495
"172085 Sucupira";-;-;-;-;46;6;-;-;-;-;-;-;-;-;-;1;2;1;1;4;3;4;2;-;-;1;-;2;2;2;-;-;-;1;1;1;1;1;-;1;1;1;1;2;2;-;1;2;2;2;2;2;1;1;1;-;2;3;3;3;2;3;3;1;1;1;1;2;1;2;2;1;1;1;1;1;1;1;3;3;3;3;3;4;4;4;4;-;-;-;3;3;3;2;2;2;3;3;3;3;3;3;3;1;3;1;1;1;1;1;1;1;3;1;1;1;1;-;-;-;-;1;2;2;1;1;2;-;1;1;1;2;4;3;4;2;3;2;3;2;1;-;-;-;-;2;1;1;2;4;274
"172090 Taguatinga";10;26;51;27;49;19;1;2;-;4;5;6;16;12;8;11;10;11;11;9;11;15;10;5;12;6;2;2;3;4;-;1;2;2;3;1;1;3;6;4;5;3;7;7;10;11;-;9;13;6;4;8;4;3;4;2;3;-;-;1;1;1;5;9;7;4;4;6;6;2;2;2;2;3;4;1;3;5;4;4;4;7;2;8;122;4;7;2;2;3;2;3;1;3;1;16;1;-;-;-;1;1;-;-;-;-;2;2;2;2;2;16;1;1;3;3;2;4;3;2;1;1;-;1;1;1;-;1;1;36;-;5;2;2;3;2;3;4;4;3;4;2;3;2;1;3;2;2;2;1;884
"172093 Taipas do Tocantins";-;-;-;-;3;28;1;2;1;1;1;1;4;4;3;4;2;3;3;2;2;1;1;3;2;-;4;3;3;7;4;3;3;3;8;-;2;-;2;2;2;2;-;1;1;2;1;-;1;-;-;2;-;1;1;2;1;2;2;1;1;-;-;1;-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;1;2;1;1;1;-;-;-;-;-;-;-;-;1;1;3;1;1;2;-;2;1;2;2;1;1;1;-;1;2;1;1;1;1;-;1;1;-;1;1;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;207
"172097 Talismã";-;-;-;15;8;27;2;3;2;3;2;2;2;2;1;-;-;-;-;-;-;-;-;-;-;1;2;7;2;2;2;1;3;3;4;4;4;4;4;5;5;6;5;5;5;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;-;1;-;1;2;2;2;2;2;1;1;1;1;1;1;-;1;1;1;1;1;1;1;1;2;1;2;4;2;2;2;1;-;2;-;1;-;2;6;2;3;5;6;3;4;1;2;1;1;1;2;2;2;2;3;1;1;2;1;2;1;1;1;-;-;1;1;1;1;1;280
"172110 Tocantínia";-;5;16;7;26;21;-;-;1;3;4;4;-;3;2;2;4;4;3;-;4;2;-;4;-;1;2;4;5;3;1;7;7;6;7;9;3;9;3;3;3;5;2;2;1;4;5;5;-;8;2;4;11;5;2;6;6;6;5;3;5;4;10;7;3;6;2;2;2;3;3;3;3;6;2;-;-;-;1;1;-;2;1;1;4;1;8;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;4;1;4;-;3;-;2;1;-;-;-;1;2;5;1;2;1;4;3;5;5;5;6;5;2;3;5;4;4;4;1;4;4;2;5;5;1;75;5;2;3;4;3;-;-;-;550
"172120 Tocantinópolis";4;8;-;21;18;14;1;-;-;1;1;1;-;-;-;-;-;-;-;-;2;6;6;5;3;2;4;4;6;5;13;11;10;3;73;5;5;20;8;32;8;9;16;13;11;8;9;8;12;6;8;5;4;1;4;6;6;3;7;7;8;5;2;2;3;2;2;4;4;4;3;5;8;6;7;44;9;12;10;8;10;7;12;7;9;5;7;10;6;4;12;4;4;3;3;4;3;4;3;4;4;4;4;5;5;3;1;4;4;3;2;2;2;3;3;2;2;6;6;8;8;2;6;7;5;3;4;4;8;6;5;4;5;4;6;6;7;6;5;4;5;5;6;5;4;4;2;1;1;2;925
"172125 Tupirama";-;-;12;13;22;22;2;3;-;1;-;2;2;1;3;2;2;2;2;2;2;2;2;-;2;2;2;2;2;3;1;1;2;2;2;1;1;-;2;1;12;-;-;1;1;-;-;-;2;1;1;-;1;1;5;-;-;-;-;-;-;2;4;1;-;2;1;3;-;-;2;2;2;2;2;3;4;4;-;1;-;-;10;1;-;-;-;-;1;-;1;-;-;1;-;1;-;-;2;-;-;1;1;1;-;-;-;3;2;1;1;2;3;1;1;2;2;2;2;1;-;-;-;-;1;-;-;-;1;-;1;4;1;6;3;3;2;3;4;4;3;6;6;6;6;7;5;5;4;7;316
"172130 Tupiratins";-;-;-;3;-;6;1;2;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;2;2;2;-;2;2;2;2;2;2;1;1;1;-;-;-;-;-;1;2;2;2;1;1;1;1;1;1;1;-;-;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;1;-;1;-;1;1;1;-;-;1;-;-;1;1;-;1;1;2;2;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;96
"172208 Wanderlândia";-;20;89;93;69;36;6;5;2;6;2;4;2;3;2;3;10;-;3;-;2;2;3;-;5;4;-;-;1;1;4;-;-;4;4;2;2;3;1;2;1;1;1;3;3;8;6;3;5;-;2;2;2;2;3;3;2;-;1;3;3;4;3;2;2;1;-;-;1;1;-;-;-;6;2;2;4;3;3;3;4;6;5;4;7;4;5;9;7;6;6;5;4;4;4;4;-;3;5;3;1;1;2;2;4;5;2;2;5;3;5;4;4;2;3;2;-;-;-;-;1;-;2;2;2;2;2;2;2;4;2;6;4;5;6;4;5;6;8;2;5;5;-;3;3;1;-;1;-;-;713
"172210 Xambioá";23;114;121;147;34;71;2;4;2;8;6;4;18;14;11;11;20;9;4;13;10;18;11;9;7;13;10;7;10;9;6;6;13;7;11;7;4;10;8;10;6;15;13;-;18;13;16;14;22;-;-;-;2;41;10;2;17;17;27;39;24;39;84;38;21;34;27;24;46;41;42;39;48;32;37;16;18;25;23;23;19;11;10;8;9;5;5;8;14;6;4;5;6;6;6;6;8;8;6;5;21;2;6;6;7;9;7;11;8;8;12;12;11;10;13;11;2;9;9;5;8;10;10;11;7;5;8;2;4;5;7;4;4;6;6;6;12;4;6;6;9;8;7;6;10;-;4;3;4;2;2293
"210005 Açailândia";-;141;1284;1902;111;24;7;3;-;5;10;12;36;20;45;53;63;49;16;16;21;12;17;8;10;17;22;12;36;17;20;12;8;7;7;9;17;11;18;16;16;19;5;24;11;14;10;18;109;55;64;52;52;43;72;56;64;72;54;76;51;90;56;80;70;86;36;40;35;26;20;23;21;24;42;26;36;20;34;37;29;22;21;21;20;85;21;31;24;12;21;13;16;24;22;25;21;19;32;18;26;24;16;12;28;45;31;39;38;35;29;28;17;19;24;12;15;14;9;7;8;8;5;8;5;6;3;5;-;-;1;1;1;1;4;5;2;2;4;28;5;16;6;6;7;5;6;3;6;-;6955
"210010 Afonso Cunha";-;-;-;-;6;5;-;-;-;-;9;-;9;-;-;-;-;-;-;1;-;1;1;1;1;3;2;1;-;-;-;2;2;2;2;2;2;1;3;3;5;-;3;3;4;5;4;4;3;2;4;2;-;2;2;2;3;4;2;2;1;1;1;1;1;1;2;2;1;2;1;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;2;1;3;1;2;2;2;2;2;2;1;1;1;-;1;-;1;-;1;2;1;1;2;1;180
"210015 Água Doce do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;14;-;-;-;-;-;-;-;72;-;-;5;67;-;1;1;73;1;1;1;1;4;1;9;66;4;54;17;9;57;4;11;9;9;5;43;6;6;4;11;4;2;2;14;-;-;-;-;-;-;-;-;21;-;-;-;-;1;-;-;-;-;-;84;1;-;-;-;32;-;-;176;18;-;-;-;-;-;1;-;-;-;-;-;-;-;32;1;-;-;-;-;39;-;1;1;2;2;46;1055
"210020 Alcântara";-;-;16;23;52;27;2;29;10;-;1;2;2;3;3;1;-;-;2;1;1;1;-;2;3;2;3;2;2;1;3;3;3;2;28;2;1;1;3;2;2;2;2;2;2;2;1;2;2;1;1;1;-;2;4;21;4;-;3;3;1;18;1;2;1;1;1;3;1;75;2;8;48;5;43;16;6;12;6;4;2;3;1;36;3;2;2;-;2;1;1;1;2;1;1;12;-;-;4;2;-;3;4;3;3;4;3;3;4;3;6;7;4;5;9;9;13;6;9;25;21;23;23;8;-;-;4;3;4;8;12;8;8;4;8;10;5;2;-;6;5;5;9;-;-;-;-;-;-;-;925
"210030 Aldeias Altas";-;-;3;26;36;24;4;4;6;5;5;1;5;-;-;9;9;3;1;5;5;4;3;1;-;4;7;8;9;3;5;9;2;5;5;1;-;2;3;9;4;-;5;5;7;7;1;-;5;4;3;8;-;2;2;5;2;1;4;4;5;3;5;4;4;5;3;2;5;3;4;7;6;3;61;1;-;-;-;-;-;3;2;3;6;4;3;3;3;6;3;4;3;3;4;5;5;3;3;2;2;4;6;5;21;4;8;4;4;6;5;4;5;5;4;2;4;4;3;5;5;6;5;6;4;4;2;5;4;3;9;6;7;6;11;9;13;9;13;12;8;7;8;7;18;21;20;23;19;22;886
"210040 Altamira do Maranhão";-;16;33;10;28;80;10;9;11;7;7;6;6;5;6;6;3;6;5;8;8;5;5;5;5;1;4;4;2;1;13;11;7;20;17;22;3;-;2;3;3;-;1;3;3;4;4;6;5;5;5;2;2;3;5;5;6;5;2;5;4;2;4;3;3;2;3;6;3;6;3;4;4;3;4;4;3;3;3;3;3;2;2;2;2;1;1;1;1;-;2;1;3;2;4;5;2;4;-;-;-;-;-;-;-;-;-;-;-;6;5;7;5;-;-;-;5;7;6;20;10;8;10;11;13;-;14;8;8;11;7;3;3;3;3;3;3;-;3;3;3;2;3;-;-;-;-;-;-;-;775
"210043 Alto Alegre do Maranhão";-;-;-;-;9;240;38;32;66;8;42;46;7;23;38;37;19;-;43;68;23;56;52;88;49;59;41;-;38;46;25;53;62;58;-;28;25;52;36;39;39;38;41;33;29;23;17;3;18;17;18;15;19;19;27;125;21;25;17;21;24;33;38;36;28;32;34;30;29;84;22;26;25;26;30;29;24;23;24;21;19;16;14;10;12;13;15;12;12;8;14;17;18;15;9;14;20;13;13;14;16;12;17;16;15;17;99;13;13;164;3;3;82;-;6;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;15;12;3;-;6;13;11;12;7;9;8;9;3722
"210047 Alto Alegre do Pindaré";83;529;733;842;722;626;52;44;40;34;39;47;43;46;49;37;45;42;40;37;23;28;24;27;43;50;59;77;86;65;59;64;33;55;55;38;40;32;47;42;45;53;40;46;57;50;48;54;70;72;515;47;155;45;35;42;43;41;49;38;38;43;46;41;35;31;-;36;33;36;44;47;50;51;51;42;49;25;28;23;35;33;33;39;42;37;49;43;36;26;27;26;36;19;23;20;25;29;34;39;39;37;39;43;37;42;44;45;46;41;43;53;43;-;28;29;24;25;21;27;26;29;36;29;41;129;41;19;42;36;32;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9223
"210050 Alto Parnaíba";135;95;239;163;181;93;3;5;2;8;7;11;5;5;4;4;6;11;16;11;10;5;6;6;2;3;2;2;6;7;3;11;3;1;-;9;2;4;5;2;5;10;1;3;2;1;3;3;3;4;4;-;4;5;5;3;6;6;7;7;8;10;9;12;7;11;11;10;10;3;2;5;5;6;4;3;3;5;2;23;3;2;2;49;3;2;42;2;2;2;3;1;3;5;2;5;5;7;-;5;8;6;6;5;8;9;11;13;11;12;12;14;9;7;10;12;8;8;9;10;5;5;6;2;9;10;6;5;6;7;7;7;5;6;8;5;15;7;16;8;8;6;3;7;6;47;3;7;5;6;1900
"210055 Amapá do Maranhão";-;9;-;57;58;38;2;4;5;13;12;17;17;15;20;12;16;-;16;16;-;4;6;60;24;22;8;8;18;25;28;28;29;9;18;22;18;14;103;14;14;39;3;17;19;15;13;15;15;6;14;8;19;18;18;17;27;24;24;28;20;24;87;31;28;41;23;23;18;17;18;12;25;11;14;18;9;10;11;10;6;10;9;9;5;6;7;8;3;3;7;4;7;4;5;4;10;7;8;10;8;8;11;7;7;7;6;7;10;10;12;6;3;7;3;5;4;3;4;5;5;6;6;7;5;6;48;4;4;3;3;4;3;4;1;4;3;2;4;4;7;7;8;14;7;10;9;10;8;6;2065
"210060 Amarante do Maranhão";-;-;15;36;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11;10;-;11;100;10;9;6;10;5;10;14;19;20;9;28;13;24;23;15;20;16;27;30;32;41;32;28;40;10;6;6;6;3;3;2;3;5;3;5;26;2;2;2;1;1;3;9;5;16;6;4;12;8;6;1;2;9;6;-;2;10;45;53;45;15;15;6;14;4;29;2;3;1;62;5;1;3;5;3;6;17;18;23;23;20;24;23;31;32;8;7;5;6;7;27;24;22;22;21;21;5;5;4;4;6;5;12;7;8;5;8;22;9;20;20;19;14;15;20;23;20;21;23;21;21;22;27;22;1967
"210070 Anajatuba";32;101;7;25;35;43;5;36;3;-;-;-;-;1;-;-;10;-;4;2;2;6;5;3;5;6;14;23;23;166;24;77;47;237;35;44;37;37;86;94;104;21;21;44;18;137;21;13;47;10;15;33;17;16;173;175;18;71;23;8;18;3;116;8;13;142;15;26;30;20;25;13;44;4;20;21;16;15;15;21;18;29;14;15;13;10;8;9;10;9;10;3;6;8;6;8;7;14;15;9;14;26;13;10;13;25;10;11;10;11;14;20;22;-;5;4;1;-;-;3;-;55;-;1;1;-;-;4;3;1;-;3;2;4;61;-;-;-;-;5;-;-;-;-;-;1;1;1;2;37;3460
"210080 Anapurus";-;1;1;66;87;83;6;4;8;5;-;5;5;4;18;-;-;-;4;5;2;2;1;36;1;1;-;10;3;-;3;-;1;1;4;-;1;-;2;-;-;1;1;1;-;-;1;1;4;2;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;2;2;1;2;-;-;-;2;2;1;4;112;134;2;2;5;4;3;5;6;3;3;5;4;60;2;122;8;1;1;3;3;5;4;4;3;90;3;3;5;6;3;2;4;7;3;3;5;3;3;1;1;1;2;2;1;2;1;1;4;2;1;1;-;1;2;2;3;3;3;2;5;4;2;2;3;2;2;3;3;3;2;1;3;1;1116
"210083 Apicum-Açu";-;9;1;1;24;11;1;1;2;2;2;1;1;1;1;1;2;-;-;1;3;-;1;1;5;5;4;4;2;5;2;1;-;3;-;-;-;-;-;1;1;2;-;1;1;-;210;-;1;-;2;2;3;4;3;4;331;31;2;4;3;3;1;2;1;1;1;1;1;1;1;1;-;2;2;1;2;1;1;-;1;2;1;1;1;1;4;1;1;-;-;-;-;1;1;-;-;1;2;2;1;3;3;-;1;3;3;3;2;2;2;2;2;-;-;1;3;3;1;2;4;2;2;2;2;-;2;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;802
"210087 Araguanã";-;119;160;78;161;65;6;8;7;6;7;8;6;6;7;8;9;3;4;6;5;9;9;9;6;2;6;6;3;5;3;3;3;5;6;6;6;11;9;9;7;-;9;7;4;4;3;3;2;2;2;2;2;3;4;4;4;3;6;5;7;7;35;7;7;7;7;6;44;7;8;7;8;8;9;9;6;8;7;5;2;2;2;3;2;1;5;3;3;3;-;1;1;1;1;1;-;-;-;1;1;1;8;4;4;4;4;4;2;1;-;-;1;-;-;3;4;4;4;7;11;10;10;13;13;7;10;12;15;12;9;5;7;10;5;5;5;5;5;5;5;5;5;-;4;7;4;3;4;4;1383
"210090 Araioses";-;-;3;28;14;15;-;-;-;-;-;-;1;2;-;-;-;-;4;-;1;1;2;-;2;7;2;3;1;1;1;2;2;3;5;8;8;76;3;7;6;8;8;-;4;6;77;5;2;3;4;4;2;2;-;2;10;3;1;62;2;13;5;5;6;10;30;5;5;3;9;40;8;8;7;4;6;8;13;15;10;11;9;12;7;6;8;5;5;13;4;1;1;5;4;7;4;8;5;5;44;6;1;1;7;6;6;4;6;4;4;2;3;2;6;6;4;7;6;10;8;7;7;9;7;30;5;5;4;4;23;5;4;5;9;4;3;3;2;3;4;5;6;8;9;11;10;7;8;10;1103
"210095 Arame";14;75;33;62;90;271;22;7;15;7;11;12;8;7;6;7;4;4;12;1;1;6;4;210;140;34;22;49;47;54;65;26;37;48;44;63;51;46;46;37;39;34;32;48;30;117;36;30;26;35;35;23;20;21;21;26;26;22;16;29;29;27;25;95;31;38;23;24;19;18;12;11;14;12;17;14;17;17;18;14;10;12;10;13;12;11;13;11;17;9;37;11;13;23;-;24;9;11;-;-;12;15;-;-;4;14;12;12;8;8;8;-;4;7;10;8;8;8;5;4;4;4;2;4;6;7;-;11;-;10;12;72;11;16;17;16;14;16;17;18;24;21;25;-;24;-;24;24;23;59;3713
"210100 Arari";51;105;110;232;333;416;14;21;42;45;2;40;48;51;56;56;60;62;56;4;9;7;15;11;11;15;13;12;12;10;3;13;11;19;10;10;17;13;13;11;10;15;6;10;10;7;8;4;15;4;12;5;7;1;5;7;5;11;9;8;8;9;12;8;8;4;7;8;12;12;8;6;6;4;10;9;12;9;6;5;4;9;8;7;8;7;7;4;2;3;5;5;7;7;5;4;7;6;9;8;4;4;36;5;7;8;10;12;12;15;16;17;18;7;22;19;18;12;14;15;12;19;17;14;10;4;17;14;15;13;11;13;16;16;13;10;17;16;23;14;17;16;12;12;12;11;15;11;18;13;3175
"210110 Axixá";-;-;1;8;-;71;3;4;7;3;4;4;5;4;4;2;31;1;-;-;-;-;1;2;2;2;2;1;1;1;1;1;1;3;3;3;2;3;1;1;1;1;1;1;43;2;1;1;-;2;5;6;5;4;3;6;11;4;4;4;13;4;4;6;66;50;4;1;2;2;2;1;2;1;12;1;1;-;1;5;5;5;1120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;224;1;1;2;13;26;-;1;-;1;1;1;-;1;1;1;1;1;1;1;1;1;4;184;6;6;184;6;184;184;184;184;8;6;91;17;6;5;3;6;6;6;6;4;30;-;3198
"210120 Bacabal";-;31;392;807;1011;1176;92;77;77;90;69;68;94;75;92;101;98;92;144;31;40;7;11;54;164;70;62;162;208;50;166;80;158;178;198;154;30;131;181;88;103;154;170;75;64;124;106;115;43;29;94;62;61;61;54;77;67;86;159;166;153;203;196;178;238;235;246;238;261;262;262;278;304;196;238;137;160;173;128;161;218;193;169;140;135;137;134;137;114;85;122;136;149;96;98;77;87;63;59;50;86;63;71;61;60;83;59;56;55;56;93;60;58;44;64;28;18;7;52;44;46;62;44;57;66;65;61;81;80;80;84;82;83;82;68;78;83;56;71;73;74;75;75;65;87;82;73;77;81;85;18619
"210125 Bacabeira";3;-;17;231;41;24;1;1;1;-;1;3;7;1;2;13;8;3;8;3;5;5;7;7;8;94;14;16;16;13;17;13;12;13;10;8;9;10;10;9;4;5;9;7;6;11;9;2;8;11;14;8;12;8;11;8;6;6;7;10;6;8;8;8;8;8;8;11;5;11;10;7;7;10;10;8;9;6;6;7;7;6;9;10;8;9;11;7;7;8;8;15;13;10;11;10;25;13;29;16;17;21;9;10;14;16;13;12;10;9;3;6;11;6;6;6;6;4;6;6;6;3;3;7;6;5;5;3;4;8;4;3;-;-;-;-;-;-;4;8;5;2;7;53;3;2;6;26;5;5;1593
